customer_id,total_sessions,total_purchases,total_revenue,total_cart_adds,total_cart_abandons,avg_pages_viewed,avg_time_on_site_sec,avg_discount_received,avg_rating_given,last_visit_date,location,primary_device,primary_category,recency_days,avg_order_value,cart_abandonment_rate,purchase_conversion_rate,cluster,segment_name
1000,2,1,1228.72,2,1,17.5,1014.0,17.5,3.5,2024-06-18,119,0,4,195,1228.72,0.5,0.5,1,Regular Engaged Customers
1001,1,0,0.0,0,0,15.0,996.0,0.0,4.0,2024-12-21,101,0,3,9,0.0,0.0,0.0,1,Regular Engaged Customers
1002,3,0,0.0,2,2,8.333333333333334,313.6666666666667,3.3333333333333335,4.0,2024-11-04,57,1,2,56,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1003,3,1,1681.96,1,0,5.666666666666667,695.3333333333334,11.666666666666666,4.333333333333333,2024-12-04,84,1,1,26,1681.96,0.0,0.3333333333333333,2,Premium High-Value Customers
1004,3,0,0.0,1,1,12.333333333333334,923.6666666666666,16.666666666666668,4.0,2024-09-27,97,1,2,94,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1005,3,0,0.0,2,2,14.0,312.3333333333333,15.0,4.0,2024-06-05,86,1,0,208,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1006,2,0,0.0,1,1,13.5,1145.0,10.0,4.0,2024-09-25,68,1,4,96,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1007,1,0,0.0,0,0,22.0,557.0,20.0,4.0,2024-08-13,200,0,3,139,0.0,0.0,0.0,1,Regular Engaged Customers
1008,5,1,1546.42,2,1,9.8,829.2,17.0,4.0,2024-11-12,59,1,0,48,1546.42,0.5,0.2,2,Premium High-Value Customers
1009,5,3,4616.63,5,2,11.0,806.6,12.0,4.2,2024-09-22,19,1,2,99,1538.8766666666668,0.4,0.6,2,Premium High-Value Customers
1011,4,0,0.0,2,2,10.75,894.25,5.0,4.0,2024-10-03,36,1,4,88,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1012,3,0,0.0,1,1,12.666666666666666,700.0,8.333333333333334,4.0,2024-05-10,37,0,0,234,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1013,2,0,0.0,0,0,19.5,267.0,0.0,4.0,2024-10-23,133,0,2,68,0.0,0.0,0.0,1,Regular Engaged Customers
1014,4,1,2423.92,2,1,11.75,985.0,5.0,4.25,2024-12-14,33,1,6,16,2423.92,0.5,0.25,2,Premium High-Value Customers
1015,1,0,0.0,1,1,3.0,1405.0,0.0,4.0,2024-02-18,65,0,0,316,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1016,1,0,0.0,0,0,2.0,1523.0,30.0,4.0,2024-11-14,164,0,4,46,0.0,0.0,0.0,1,Regular Engaged Customers
1017,2,0,0.0,1,1,10.0,565.5,5.0,4.0,2024-07-22,77,1,4,161,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1018,1,0,0.0,1,1,22.0,875.0,15.0,4.0,2024-05-09,15,2,7,235,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1019,1,0,0.0,0,0,10.0,1096.0,10.0,4.0,2024-05-31,212,1,4,213,0.0,0.0,0.0,1,Regular Engaged Customers
1020,4,0,0.0,3,3,10.25,1165.25,6.25,4.0,2024-11-11,45,0,4,49,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1021,5,0,0.0,3,3,6.6,1136.8,9.0,4.0,2024-09-10,4,0,5,111,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1022,1,0,0.0,0,0,6.0,1751.0,0.0,4.0,2024-12-19,206,1,3,11,0.0,0.0,0.0,1,Regular Engaged Customers
1023,2,0,0.0,1,1,5.5,325.0,5.0,4.0,2024-03-22,18,1,0,283,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1024,2,0,0.0,0,0,10.5,774.0,0.0,4.0,2024-08-27,27,1,1,125,0.0,0.0,0.0,1,Regular Engaged Customers
1025,2,0,0.0,2,2,5.0,582.0,7.5,4.0,2024-12-25,45,0,6,5,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1026,3,1,244.3,3,2,16.333333333333332,603.0,5.0,4.0,2024-08-07,14,0,1,145,244.3,0.6666666666666666,0.3333333333333333,0,Occasional Low-Engagement Customers
1027,4,0,0.0,0,0,14.25,1235.5,3.75,4.0,2024-12-01,2,0,7,29,0.0,0.0,0.0,1,Regular Engaged Customers
1028,5,1,2328.44,4,3,11.4,956.6,5.0,4.0,2024-11-06,27,0,0,54,2328.44,0.75,0.2,2,Premium High-Value Customers
1029,1,1,357.02,1,0,17.0,272.0,15.0,5.0,2024-07-29,33,2,7,154,357.02,0.0,1.0,1,Regular Engaged Customers
1030,3,0,0.0,1,1,8.666666666666666,792.3333333333334,0.0,4.0,2024-06-25,151,0,0,188,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1031,4,2,2231.42,4,2,19.25,1274.0,16.25,4.25,2024-08-24,126,0,0,128,1115.71,0.5,0.5,2,Premium High-Value Customers
1032,4,0,0.0,1,1,11.25,973.75,10.0,4.0,2024-10-31,59,0,0,60,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1033,5,1,571.06,2,1,17.0,480.2,9.0,4.2,2024-09-25,33,1,0,96,571.06,0.5,0.2,2,Premium High-Value Customers
1034,1,0,0.0,1,1,19.0,1748.0,0.0,4.0,2024-12-11,146,0,0,19,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1035,4,1,325.77,3,2,12.25,733.0,3.75,4.0,2024-08-16,119,1,4,136,325.77,0.6666666666666666,0.25,0,Occasional Low-Engagement Customers
1036,3,1,395.17,2,1,13.666666666666666,170.0,6.666666666666667,4.333333333333333,2024-11-10,149,0,7,50,395.17,0.5,0.3333333333333333,2,Premium High-Value Customers
1037,4,0,0.0,2,2,16.0,1087.0,11.25,4.0,2024-09-16,35,0,3,105,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1038,4,1,4503.98,3,2,7.75,1076.0,7.5,4.0,2024-12-26,98,0,6,4,4503.98,0.6666666666666666,0.25,2,Premium High-Value Customers
1039,4,2,1852.98,3,1,19.0,1146.5,13.75,4.25,2024-12-16,2,0,7,14,926.49,0.3333333333333333,0.5,2,Premium High-Value Customers
1040,5,2,7417.69,5,3,5.0,1016.0,3.0,3.6,2024-12-17,55,0,5,13,3708.845,0.6,0.4,2,Premium High-Value Customers
1041,2,1,1296.48,2,1,19.0,1041.5,2.5,3.5,2024-09-01,94,0,4,120,1296.48,0.5,0.5,1,Regular Engaged Customers
1042,5,3,4330.68,5,2,14.2,525.2,7.0,4.4,2024-12-01,0,0,3,29,1443.5600000000002,0.4,0.6,2,Premium High-Value Customers
1043,1,0,0.0,1,1,17.0,152.0,20.0,4.0,2024-10-26,158,2,6,65,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1044,7,2,1008.62,5,3,10.285714285714286,888.5714285714286,15.714285714285714,3.5714285714285716,2024-12-27,64,1,4,3,504.31,0.6,0.2857142857142857,2,Premium High-Value Customers
1045,2,0,0.0,1,1,16.0,868.0,5.0,4.0,2024-11-17,83,1,1,43,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1046,3,0,0.0,0,0,12.0,461.3333333333333,15.0,4.0,2024-05-08,42,0,0,236,0.0,0.0,0.0,1,Regular Engaged Customers
1047,5,1,922.92,3,2,9.8,783.2,9.0,4.2,2024-09-06,55,0,4,115,922.92,0.6666666666666666,0.2,2,Premium High-Value Customers
1048,3,0,0.0,2,2,13.333333333333334,1699.0,11.666666666666666,4.0,2024-03-22,78,0,2,283,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1049,4,0,0.0,2,2,13.25,951.75,13.75,4.0,2024-07-06,49,1,1,177,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1050,3,0,0.0,2,2,11.333333333333334,806.0,11.666666666666666,4.0,2024-09-15,31,0,0,106,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1051,3,0,0.0,1,1,16.333333333333332,715.0,13.333333333333334,4.0,2024-07-29,14,0,2,154,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1052,6,0,0.0,4,4,10.666666666666666,780.5,1.6666666666666667,4.0,2024-12-18,39,1,7,12,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1053,1,0,0.0,0,0,9.0,1385.0,30.0,4.0,2024-05-30,130,1,1,214,0.0,0.0,0.0,1,Regular Engaged Customers
1054,5,1,2322.16,2,1,12.2,535.0,2.0,4.0,2024-10-19,48,0,0,72,2322.16,0.5,0.2,2,Premium High-Value Customers
1055,2,0,0.0,1,1,17.0,1525.0,5.0,4.0,2024-11-13,4,1,5,47,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1056,1,1,345.71,1,0,19.0,375.0,0.0,4.0,2024-10-13,31,1,7,78,345.71,0.0,1.0,1,Regular Engaged Customers
1057,4,0,0.0,1,1,10.0,1014.25,3.75,4.0,2024-10-19,19,0,6,72,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1058,3,2,6257.73,2,0,16.666666666666668,903.3333333333334,11.666666666666666,3.3333333333333335,2024-05-23,41,1,3,221,3128.865,0.0,0.6666666666666666,2,Premium High-Value Customers
1059,2,0,0.0,1,1,17.5,947.0,20.0,4.0,2024-12-05,123,0,0,25,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1060,1,0,0.0,0,0,10.0,1131.0,15.0,4.0,2024-08-15,190,0,2,137,0.0,0.0,0.0,1,Regular Engaged Customers
1061,2,0,0.0,2,2,10.5,1219.0,7.5,4.0,2024-09-25,192,0,1,96,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1062,3,2,5304.35,2,0,19.0,1032.0,13.333333333333334,3.6666666666666665,2024-09-28,133,1,2,93,2652.175,0.0,0.6666666666666666,2,Premium High-Value Customers
1063,3,0,0.0,2,2,15.0,914.0,11.666666666666666,4.0,2024-11-09,19,0,3,51,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1064,1,0,0.0,1,1,17.0,1377.0,30.0,4.0,2024-08-17,126,1,5,135,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1065,1,1,7889.36,1,0,6.0,1586.0,0.0,5.0,2024-05-22,13,1,2,222,7889.36,0.0,1.0,1,Regular Engaged Customers
1066,4,1,3654.18,3,2,5.75,852.0,17.5,4.0,2024-08-11,55,0,2,141,3654.18,0.6666666666666666,0.25,2,Premium High-Value Customers
1067,4,1,2032.07,4,3,11.0,889.25,8.75,4.25,2024-09-03,60,0,0,118,2032.07,0.75,0.25,2,Premium High-Value Customers
1068,2,0,0.0,1,1,8.0,928.5,0.0,4.0,2024-08-01,54,0,0,151,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1069,3,0,0.0,0,0,5.0,603.3333333333334,18.333333333333332,4.0,2024-12-23,34,0,0,7,0.0,0.0,0.0,1,Regular Engaged Customers
1070,3,0,0.0,0,0,9.666666666666666,1023.6666666666666,5.0,4.0,2024-12-24,7,0,3,6,0.0,0.0,0.0,1,Regular Engaged Customers
1071,5,1,1331.9,2,1,15.0,1117.6,7.0,4.0,2024-10-19,5,1,0,72,1331.9,0.5,0.2,2,Premium High-Value Customers
1072,1,0,0.0,1,1,7.0,1566.0,20.0,4.0,2024-04-06,13,0,7,268,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1073,2,0,0.0,2,2,11.5,387.0,15.0,4.0,2024-08-22,169,1,1,130,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1074,1,0,0.0,1,1,5.0,856.0,0.0,4.0,2024-12-09,154,0,4,21,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1075,2,0,0.0,1,1,21.5,1292.0,0.0,4.0,2024-03-18,140,1,2,287,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1076,4,1,1449.62,3,2,19.25,882.25,8.75,3.5,2024-10-10,15,0,6,81,1449.62,0.6666666666666666,0.25,2,Premium High-Value Customers
1077,3,1,1959.6,2,1,7.0,526.0,0.0,4.0,2024-10-03,54,1,4,88,1959.6,0.5,0.3333333333333333,2,Premium High-Value Customers
1078,2,1,490.0,1,0,4.5,1327.0,10.0,4.0,2024-05-30,58,0,0,214,490.0,0.0,0.5,1,Regular Engaged Customers
1079,4,1,4252.77,3,2,7.25,1218.0,2.5,3.5,2024-09-15,4,0,1,106,4252.77,0.6666666666666666,0.25,2,Premium High-Value Customers
1080,4,1,2111.96,1,0,6.5,765.5,12.5,4.25,2024-08-29,19,1,1,123,2111.96,0.0,0.25,2,Premium High-Value Customers
1081,1,0,0.0,1,1,2.0,910.0,0.0,4.0,2024-02-27,121,2,4,307,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1082,3,1,1601.42,3,2,9.666666666666666,1434.6666666666667,10.0,4.0,2024-05-20,58,0,0,224,1601.42,0.6666666666666666,0.3333333333333333,1,Regular Engaged Customers
1083,4,1,1056.76,3,2,8.25,926.25,10.0,4.0,2024-08-24,2,0,0,128,1056.76,0.6666666666666666,0.25,2,Premium High-Value Customers
1084,3,1,3648.04,2,1,7.333333333333333,1055.6666666666667,0.0,3.6666666666666665,2024-05-25,16,1,3,219,3648.04,0.5,0.3333333333333333,2,Premium High-Value Customers
1086,3,1,1236.24,2,1,12.333333333333334,524.3333333333334,0.0,3.6666666666666665,2024-09-19,27,1,0,102,1236.24,0.5,0.3333333333333333,1,Regular Engaged Customers
1087,3,1,222.61,1,0,17.666666666666668,951.0,11.666666666666666,4.0,2024-06-22,114,0,0,191,222.61,0.0,0.3333333333333333,1,Regular Engaged Customers
1088,1,0,0.0,1,1,1.0,1666.0,20.0,4.0,2024-02-23,156,1,4,311,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1089,3,1,2169.46,3,2,16.333333333333332,856.3333333333334,6.666666666666667,4.0,2024-12-09,41,1,0,21,2169.46,0.6666666666666666,0.3333333333333333,2,Premium High-Value Customers
1090,7,1,3331.6,4,3,14.571428571428571,776.7142857142857,3.5714285714285716,4.0,2024-12-09,49,1,0,21,3331.6,0.75,0.14285714285714285,2,Premium High-Value Customers
1091,4,0,0.0,2,2,14.75,1005.25,10.0,4.0,2024-12-26,111,1,1,4,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1092,2,1,2987.93,2,1,12.5,173.0,17.5,4.5,2024-07-18,102,1,1,165,2987.93,0.5,0.5,1,Regular Engaged Customers
1093,1,0,0.0,0,0,3.0,193.0,0.0,4.0,2024-07-02,221,1,5,181,0.0,0.0,0.0,1,Regular Engaged Customers
1094,2,0,0.0,1,1,6.5,1235.5,2.5,4.0,2024-10-07,156,0,0,84,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1095,3,2,3681.54,3,1,3.6666666666666665,474.0,1.6666666666666667,4.0,2024-11-11,4,1,5,49,1840.77,0.3333333333333333,0.6666666666666666,2,Premium High-Value Customers
1096,4,2,4912.93,3,1,16.0,846.5,5.0,4.0,2024-12-13,14,1,1,17,2456.465,0.3333333333333333,0.5,2,Premium High-Value Customers
1097,2,0,0.0,1,1,6.0,1629.5,2.5,4.0,2024-01-31,9,1,1,334,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1098,3,0,0.0,2,2,12.666666666666666,1288.0,11.666666666666666,4.0,2024-11-04,51,1,3,56,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1099,5,1,2717.82,4,3,16.8,858.0,6.0,4.2,2024-10-04,58,1,6,87,2717.82,0.75,0.2,2,Premium High-Value Customers
1100,2,2,788.77,2,0,5.0,988.0,2.5,2.5,2024-08-12,97,0,1,140,394.385,0.0,1.0,1,Regular Engaged Customers
1101,1,1,1339.45,1,0,14.0,168.0,10.0,2.0,2024-11-19,29,2,1,41,1339.45,0.0,1.0,1,Regular Engaged Customers
1102,3,0,0.0,1,1,14.666666666666666,1455.3333333333333,13.333333333333334,4.0,2024-06-08,38,0,0,205,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1104,1,0,0.0,1,1,15.0,809.0,15.0,4.0,2024-02-12,207,0,1,322,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1105,4,1,1244.58,3,2,16.75,761.75,8.75,4.0,2024-08-02,48,0,0,150,1244.58,0.6666666666666666,0.25,2,Premium High-Value Customers
1106,2,0,0.0,1,1,12.0,968.5,7.5,4.0,2024-06-06,100,1,7,207,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1107,3,0,0.0,3,3,12.333333333333334,686.0,13.333333333333334,4.0,2024-10-06,10,0,0,85,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1108,6,0,0.0,3,3,14.0,858.8333333333334,12.5,4.0,2024-12-27,65,1,3,3,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1109,3,0,0.0,3,3,8.0,743.3333333333334,3.3333333333333335,4.0,2024-06-15,17,0,1,198,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1110,4,1,2098.22,3,2,5.5,1089.75,3.75,3.75,2024-11-20,0,1,6,40,2098.22,0.6666666666666666,0.25,2,Premium High-Value Customers
1111,2,1,1839.86,1,0,19.0,1010.0,7.5,4.5,2024-10-12,10,0,3,79,1839.86,0.0,0.5,1,Regular Engaged Customers
1112,5,1,2540.56,3,2,7.8,1001.4,8.0,4.2,2024-11-21,63,0,6,39,2540.56,0.6666666666666666,0.2,2,Premium High-Value Customers
1113,2,0,0.0,2,2,11.5,677.5,10.0,4.0,2024-12-28,75,1,5,2,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1114,2,0,0.0,0,0,13.0,1415.5,20.0,4.0,2024-10-13,25,1,3,78,0.0,0.0,0.0,1,Regular Engaged Customers
1115,2,1,1763.68,2,1,13.0,1087.0,10.0,4.5,2024-08-16,72,1,3,136,1763.68,0.5,0.5,1,Regular Engaged Customers
1116,4,0,0.0,2,2,9.0,966.25,8.75,4.0,2024-11-17,7,1,1,43,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1118,1,1,4522.5,1,0,14.0,500.0,15.0,5.0,2024-01-15,140,1,2,350,4522.5,0.0,1.0,1,Regular Engaged Customers
1119,1,0,0.0,1,1,20.0,1639.0,0.0,4.0,2024-03-20,173,1,1,285,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1120,3,0,0.0,1,1,11.333333333333334,239.33333333333334,10.0,4.0,2024-07-08,144,0,1,175,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1121,2,1,1894.59,2,1,21.5,1424.0,22.5,4.0,2024-10-04,180,1,3,87,1894.59,0.5,0.5,1,Regular Engaged Customers
1122,1,0,0.0,1,1,21.0,863.0,10.0,4.0,2024-05-11,84,1,4,233,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1123,3,0,0.0,1,1,15.666666666666666,776.6666666666666,26.666666666666668,4.0,2024-12-27,58,1,0,3,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1124,4,2,1684.02,4,2,9.5,897.0,0.0,4.5,2024-10-24,5,1,0,67,842.01,0.5,0.5,2,Premium High-Value Customers
1125,4,0,0.0,1,1,13.25,879.75,6.25,4.0,2024-11-30,12,1,4,30,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1126,4,2,2051.36,3,1,16.75,632.75,0.0,4.25,2024-11-29,20,0,4,31,1025.68,0.3333333333333333,0.5,2,Premium High-Value Customers
1127,4,0,0.0,1,1,13.25,724.0,5.0,4.0,2024-10-25,15,0,0,66,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1128,1,0,0.0,0,0,3.0,618.0,10.0,4.0,2024-03-15,122,1,5,290,0.0,0.0,0.0,1,Regular Engaged Customers
1129,4,0,0.0,1,1,18.25,981.25,6.25,4.0,2024-10-24,79,1,1,67,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1130,2,1,1026.78,2,1,11.0,928.5,22.5,3.5,2024-12-19,11,0,1,11,1026.78,0.5,0.5,1,Regular Engaged Customers
1131,2,1,1150.86,1,0,18.5,739.0,5.0,4.0,2024-07-02,77,1,1,181,1150.86,0.0,0.5,1,Regular Engaged Customers
1132,3,2,3476.2200000000003,3,1,8.333333333333334,901.0,8.333333333333334,3.6666666666666665,2024-09-04,119,0,1,117,1738.1100000000001,0.3333333333333333,0.6666666666666666,2,Premium High-Value Customers
1134,8,3,7061.16,5,2,11.625,863.625,9.375,4.0,2024-11-29,22,1,6,31,2353.72,0.4,0.375,2,Premium High-Value Customers
1135,3,0,0.0,1,1,9.666666666666666,556.6666666666666,5.0,4.0,2024-11-07,14,0,0,53,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1136,2,0,0.0,1,1,16.0,1251.0,10.0,4.0,2024-04-02,3,0,3,272,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1138,6,1,924.05,5,4,11.833333333333334,993.6666666666666,6.666666666666667,4.166666666666667,2024-12-14,28,0,1,16,924.05,0.8,0.16666666666666666,2,Premium High-Value Customers
1139,2,0,0.0,2,2,15.5,430.0,5.0,4.0,2024-05-18,161,0,1,226,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1140,1,0,0.0,0,0,6.0,1580.0,10.0,4.0,2024-03-10,209,0,5,295,0.0,0.0,0.0,1,Regular Engaged Customers
1141,2,0,0.0,1,1,12.5,966.0,15.0,4.0,2024-05-07,13,0,0,237,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1142,4,0,0.0,3,3,14.25,724.0,18.75,4.0,2024-10-03,165,1,4,88,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1143,6,0,0.0,3,3,17.666666666666668,901.1666666666666,11.666666666666666,4.0,2024-11-21,13,0,2,39,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1144,2,0,0.0,1,1,21.0,1122.5,7.5,4.0,2024-02-19,48,1,0,315,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1145,2,1,997.25,1,0,10.5,617.0,2.5,4.5,2024-11-05,81,1,3,55,997.25,0.0,0.5,1,Regular Engaged Customers
1146,4,1,2950.09,3,2,13.25,859.0,12.5,4.25,2024-11-29,37,0,7,31,2950.09,0.6666666666666666,0.25,2,Premium High-Value Customers
1147,3,0,0.0,1,1,13.666666666666666,972.0,10.0,4.0,2024-07-27,8,0,1,156,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1148,4,1,843.58,2,1,8.0,928.0,6.25,4.25,2024-12-01,16,1,1,29,843.58,0.5,0.25,2,Premium High-Value Customers
1149,2,0,0.0,1,1,16.5,1439.5,0.0,4.0,2024-09-05,76,0,0,116,0.0,1.0,0.0,0,Occasional Low-Engagement Customers
1150,3,1,2340.49,2,1,18.0,184.0,15.0,4.0,2024-07-25,20,2,3,158,2340.49,0.5,0.3333333333333333,2,Premium High-Value Customers
1151,5,1,673.69,1,0,14.2,1165.0,7.0,3.8,2024-12-16,0,0,2,14,673.69,0.0,0.2,2,Premium High-Value Customers
1152,1,1,772.78,1,0,2.0,1482.0,15.0,3.0,2024-09-13,205,0,5,108,772.78,0.0,1.0,1,Regular Engaged Customers
1153,1,1,1069.29,1,0,1.0,1351.0,0.0,3.0,2024-10-06,203,0,7,85,1069.29,0.0,1.0,1,Regular Engaged Customers
